id,name,url,type,lang,topic,note
safeairspace,SafeAirspace Conflict Zones,https://safeairspace.net/feed/,rss,en,military,NEW tier1 - airspace warnings
radio_farda,Radio Farda English,https://en.radiofarda.com/api/zrqiteuuir,rss,en,iran_domestic,FIX variant a - RFERL api feed pattern
radio_farda_alt,Radio Farda alt,https://en.radiofarda.com/z/20035/rss.xml,rss,en,iran_domestic,FIX variant b - probe decides
rferl_iran,RFE/RL main,https://www.rferl.org/api/zkvypeuiiq,rss,en,iran_domestic,NEW variant - RFERL main feed
press_tv,Press TV,https://www.presstv.ir/rss.xml,rss,en,regional,FIX - unreachable from CI last round, retest
tasnim,Tasnim News,https://www.tasnimnews.com/en/rss/feed/0/8/0/,rss,en,military,FIX - IRGC-affiliated. Unreachable from CI, retest
financial_tribune,Financial Tribune,https://financialtribune.com/rss.xml,rss,en,macro,FIX - was TLS local and NOT_FEED in CI
iranwire,IranWire,https://iranwire.com/en/feed/,rss,en,iran_domestic,FIX - old URL was stale 11d and DNS-failed from CI
trading_economics,Trading Economics,https://tradingeconomics.com/rss/news.aspx,rss,en,macro,FIX - was 403 UA block
reuters_gnews,Reuters via Google News,https://news.google.com/rss/search?q=Iran+site%3Areuters.com&hl=en-US&gl=US&ceid=US%3Aen,rss,en,regional,WORKAROUND - Reuters killed public RSS. Check licence before shipping
ap_gnews,AP via Google News,https://news.google.com/rss/search?q=Iran+site%3Aapnews.com&hl=en-US&gl=US&ceid=US%3Aen,rss,en,regional,WORKAROUND - AP killed public RSS. Check licence before shipping
