rank,event_key,score,category,significance,claim_status,independent_count,best_tier,n_members,sources,provider,latest_utc,headline,summary
11,2516d7a751564225,15.542,economy,economy,unconfirmed,1,2,7,sky_news_arabia|tg_esellco|tg_fighter_radar|tg_irane_azad_news|tg_vira_university,groq2,2026-09-25T10:12:56+00:00,فرودگاه‌های عراق پروازهای ایران را به دلیل تحریم‌ها متوقف کردند,فرودگاه‌های نجف، اربیل و سلیمانیه در عراق پروازهای ورودی و خروجی به مقصد ایران را تعلیق کردند. این اقدام در پی تحریم‌های رسمی علیه ایرلاین‌های ایرانی صورت گرفته و مقامات ایرانی تهدید به محدودسازی متقابل پروازهای کشورهای همسایه کرده‌اند.
12,a369c0a348da0ffd,15.097,politics,balance,unconfirmed,1,2,2,al_manar|irna,groq2,2026-09-25T10:25:59+00:00,بحث وزیران خارجه ایران و مصر درباره تحولات منطقه‌ای در نیویورک,عباس عراقچی و بدر عبد العاطی در نیویورک درباره مسائل دوجانبه و منطقه‌ای گفت‌وگو کردند. همچنین گزارش شده است که مقامات قطری نیز با رهبران ایرانی در نیویورک درباره تلاش‌های کاهش تنش‌ها مذاکره کرده‌اند.
13,6b304d2a895008a7,15.094,economy,economy,unconfirmed,1,2,2,al_manar|mee,groq2,2026-09-25T10:25:16+00:00,افزایش شدید قیمت سوخت در لبنان نگرانی از بی‌ثباتی اجتماعی را برانگیخت,قیمت سوخت در لبنان از آغاز جنگ آمریکا و اسرائیل علیه ایران دو برابر شده است. اتحادیه‌های کارگری از بحران معیشتی شدید و احتمال اعتصابات سراسری خبر داده‌اند.
14,70fc0c432f03b5af,15.032,economy,economy,unconfirmed,1,2,2,ajar|al_jazeera,groq2,2026-09-25T10:10:33+00:00,افزایش سوءتغذیه در نیجریه به دلیل افزایش هزینه‌های غذایی ناشی از جنگ ایران,جنگ با ایران باعث افزایش هزینه‌های معیشت و سوءتغذیه در نیجریه شده است. این گزارش ادعا می‌کند که درگیری‌های منطقه‌ای مستقیماً بر قیمت‌های غذایی در آفریقا اثر گذاشته است.
15,0053495882231b48,15.032,politics,balance,unconfirmed,1,2,8,mee|osint613_a|tg_esellco|tg_irane_azad_news|tg_padeshah_fxn|tg_rnintel|tg_tabzlive|tg_wfwitness,groq,2026-09-25T07:46:25+00:00,کلمبیا روابط دیپلماتیک خود را با ایران قطع کرد,کلمبیا به دلیل نگرانی‌های امنیتی و اتهامات مربوط به حقوق بشر، روابط دیپلماتیک خود را با ایران قطع کرد. این کشور دومین کشور آمریکای جنوبی پس از پرو که با ایران قطع رابطه کرده است.
16,5c8b8722f634aa56,14.755,politics,balance,unconfirmed,1,2,4,irna|mehr|tg_tabzlive,groq,2026-09-25T08:15:53+00:00,عقد آراغچی و لاوروف و ملباند دیدارهای دوجانبه در حاشیه مجمع عمومی سازمان ملل,وزیر امور خارجه ایران در نیویورک با همتایان روسیه، بریتانیا و چندین کشور دیگر دیدار کرد. این گفتگوها در حاشیه نشست ۸۱ مجمع عمومی سازمان ملل متحد برگزار شد و موضوعات دوجانبه و منطقه‌ای در دستور کار قرار داشت.
17,d980d681a2d060d4,14.431,economy,economy,unconfirmed,1,2,2,mee|tg_entekhab,groq,2026-09-25T07:46:06+00:00,عبور کشتی‌ها از تنگه هرمز به ۹ فروند کاهش یافت,داده‌های ردیابی کشتی‌ها نشان می‌دهد تردد در تنگه هرمز به ۹ فروند کاهش یافته است. این رقم در مقایسه با ۱۴ فروند روز قبل و میانگین ۱۸ فروند در ۱۰ روز گذشته کاهش محسوسی دارد.
18,601d7eefc0290648,14.349,politics,balance,unconfirmed,1,2,2,irna|mehr,groq,2026-09-25T07:26:31+00:00,پزشکیان بر تعمیق همکاری با پاکستان و تسریع توافق با ارمنستان تأکید کرد,رئیس‌جمهور ایران بر عزم قاطع برای گسترش همکاری دوجانبه و چندجانبه با پاکستان تأکید کرد. او همچنین بر ضرورت تسریع در اجرای توافق دوجانبه با ارمنستان برای ایجاد همکاری نزدیک با کشورهای منطقه اصرار ورزید.
19,1d9888cc229b8071,14.281,politics,balance,unconfirmed,1,2,1,sky_news_arabia,groq,2026-09-25T07:34:14+00:00,بحث ترامپ و الزیدی درباره سلاح گروه‌های عراقی و مهلت ۲۰۲۷,دونالد ترامپ و علی الزیدی در حاشیه مجمع عمومی سازمان ملل درباره تحویل سلاح گروه‌های مسلح به دولت مرکزی عراق گفت‌وگو کردند. گزارش‌ها از بحث درباره مهلت زمانی تا سال ۲۰۲۷ برای این فرآیند حکایت دارند.
20,d5dacfd8a41449f5,13.845,economy,economy,unconfirmed,1,2,1,bbc_persian,groq,2026-09-25T05:49:30+00:00,ترامپ توافق واگذاری کنترل نفت ونزوئلا به آمریکا را بزرگ‌ترین توافق تاریخ خواند,دونالد ترامپ توافق جدیدی را تأیید کرد که بر اساس آن کنترل میدان‌های نفتی راهبردی ونزوئلا به آمریکا واگذار می‌شود. جزئیات این توافق که شامل نقش یک میلیاردر ونزوئلایی است، باعث ایجاد جنجال شده است.
21,344f1ddb52da1564,13.313,economy,economy,unconfirmed,1,2,1,tehran_times,groq,2026-09-25T03:41:58+00:00,افزودن سه حفار جدید به ناوگان حفاری ایران,سه حفار جدید به ناوگان حفاری ایران اضافه شد. این اقدام برای توسعه ظرفیت حفاری و تسریع در پروژه‌های توسعه‌ای انجام شده است.
22,6f4280572eee881e,13.298,economy,economy,unconfirmed,1,2,1,tehran_times,groq,2026-09-25T03:38:23+00:00,افزایش ۷.۵ درصدی صادرات ایران به ارمنستان,صادرات ایران به ارمنستان در هفت ماه اول سال ۲۰۲۶ به ۳۸۵ میلیون دلار رسید. این رقم نسبت به دوره مشابه سال قبل ۷.۵ درصد افزایش داشته است.
